Model Code,Model,Make Code,Make
399,Unknown automobile,30,Volkswagen
401,The Thing (181),30,Volkswagen
421,Touareg,30,Volkswagen
441,Vanagon/Camper,30,Volkswagen
442,Eurovan,30,Volkswagen
498,Other light truck,30,Volkswagen
499,Unknownlighttruck,30,Volkswagen
998,Other Vehicle,30,Volkswagen
999,Unknown vehicle,30,Volkswagen
31,Spider,31,Alfa Romeo
32,Sports Sedan,31,Alfa Romeo
33,Sprint Veloce,31,Alfa Romeo
34,GTV-6,31,Alfa Romeo
35,164,31,Alfa Romeo
398,Other automobile,31,Alfa Romeo
399,Unknown automobile,31,Alfa Romeo
998,Other vehicle,31,Alfa Romeo
999,Unknown vehicle,31,Alfa Romeo
31,Super 90,32,Audi
32,100/A6,32,Audi
33,Fox,32,Audi
34,4000,32,Audi
35,5000,32,Audi
36,80/90,32,Audi
37,200,32,Audi
38,V-8Quattro,32,Audi
39,CoupeQuattro,32,Audi
40,S4/S6,32,Audi
41,Cabriolet,32,Audi
42,A4,32,Audi
43,A3,32,Audi
44,A8,32,Audi
45,TT,32,Audi
46,S8,32,Audi
47,Allroad,32,Audi
49,A5,32,Audi
398,Other automobile,32,Audi
399,Unknown automobile,32,Audi
401,Q7,32,Audi
998,Other vehicle,32,Audi
999,Unknown vehicle,32,Audi
31,Marina,33,Austin/Austin Healey
32,America,33,Austin/Austin Healey
33,Healey Sprite,33,Austin/Austin Healey
34,Healy 3000,33,Austin/Austin Healey
35,Mini,33,Austin/Austin Healey
398,Other Automobile,33,Austin/Austin Healey
399,Unknown Automobile,33,Austin/Austin Healey
998,Other Vehicle,33,Austin/Austin Healey
999,Unknown Vehicle,33,Austin/Austin Healey
31,"1600, 2000",34,BMW
32,Coupe,34,BMW
33,Bavaria Sedan,34,BMW
34,3-series,34,BMW
35,5-series,34,BMW
36,6-series,34,BMW
37,7-series,34,BMW
38,8-series,34,BMW
39,Z3,34,BMW
40,Z8,34,BMW
41,V5,34,BMW
42,Z4,34,BMW
398,Other Automobile,34,BMW
399,Unknown Automobile,34,BMW
401,X5,34,BMW
402,X3,34,BMW
499,Unknown Light Truck,34,BMW
701,0-50cc,34,BMW
702,51-124cc,34,BMW
703,125-349cc,34,BMW
704,350-449cc,34,BMW
705,450-749cc,34,BMW
706,750cc-over,34,BMW
709,Unknown cc,34,BMW
799,Unknown motored cycle,34,BMW
998,Other Vehicle,34,BMW
999,Unknown Vehicle,34,BMW
31,F10,35,Nissan/Datsun
32,200/240 SX,35,Nissan/Datsun
33,1200/210/B210,35,Nissan/Datsun
34,"Z-car, ZX",35,Nissan/Datsun
35,310,35,Nissan/Datsun
36,510,35,Nissan/Datsun
37,610,35,Nissan/Datsun
38,710,35,Nissan/Datsun
39,810/Maxima,35,Nissan/Datsun
40,Roadster,35,Nissan/Datsun
41,"PL 411, RL 411",35,Nissan/Datsun
42,Stanza,35,Nissan/Datsun
43,Sentra,35,Nissan/Datsun
44,Pulsar,35,Nissan/Datsun
45,Micra,35,Nissan/Datsun
46,NX1600/2000,35,Nissan/Datsun
47,Altima,35,Nissan/Datsun
48,350Z,35,Nissan/Datsun
49,Murano,35,Nissan/Datsun
50,Versa,35,Nissan/Datsun
398,Other automobile,35,Nissan/Datsun
399,Unknown automobile,35,Nissan/Datsun
401,Pathfinder,35,Nissan/Datsun
402,Xterra,35,Nissan/Datsun
421,Armada,35,Nissan/Datsun
441,Van,35,Nissan/Datsun
442,Axxess,35,Nissan/Datsun
443,Quest,35,Nissan/Datsun
471,Datsun/Nissan Pickup,35,Nissan/Datsun
473,Titan (Data years 2005 and earlier),35,Nissan/Datsun
481,Titan (Data years 2006 and beyond),35,Nissan/Datsun
498,Other light truck Patrol,35,Nissan/Datsun
499,Unknownlight truck,35,Nissan/Datsun
883,Medium/Heavy COE,35,Nissan/Datsun
898,Other medium/heavy truck,35,Nissan/Datsun
899,Unknownmedium/heavy truck,35,Nissan/Datsun
998,Other vehicle,35,Nissan/Datsun
999,Unknown vehicle,35,Nissan/Datsun
31,124 (Coupe/Sedan),36,Fiat
32,124 Spider/Racer,36,Fiat
33,Brava-131,36,Fiat
34,850 (Coupe/Spyder),36,Fiat
35,128,36,Fiat
36,X-1/9,36,Fiat
37,Strada,36,Fiat
398,Other automobile,36,Fiat
399,Unknown automobile,36,Fiat
882,Medium/Heavy COE,36,Fiat
883,Medium/Heavy COE,36,Fiat
890,Medium/Heavy COE,36,Fiat
898,Other medium/heavy truck,36,Fiat
899,Unknown medium/heavy truck,36,Fiat
998,Other vehicle,36,Fiat
999,Unknown vehicle,36,Fiat
31,Civic/CRX,37,Honda
32,Accord,37,Honda
33,Prelude,37,Honda
34,600 all,37,Honda
35,S2000,37,Honda
37,Insight,37,Honda
39,Fit,37,Honda
398,Other automobile,37,Honda
399,Unknown automobile,37,Honda
401,Passport,37,Honda
402,CR-V,37,Honda
403,Element,37,Honda
421,Pilot,37,Honda
441,Odyssey,37,Honda
471,Datsun/Nissan PU Frontier,37,Honda
498,Other Light Truck,37,Honda
499,UnknownLight Truck,37,Honda
701,0-50cc,37,Honda
702,51-124cc,37,Honda
703,125-349cc,37,Honda
704,350-449cc,37,Honda
705,450cc-749cc,37,Honda
706,750cc-over,37,Honda
709,Unknown cc,37,Honda
731,0-50cc7,37,Honda
732,51-124 cc,37,Honda
733,125-349cc,37,Honda
734,350cc or greater,37,Honda
739,Unknown cc,37,Honda
798,Other Motorcycle,37,Honda
799,Unknown motored cycle,37,Honda
998,Other vehicle,37,Honda
999,Unknown vehicle,37,Honda
31,I-Mark,38,Isuzu
32,Impulse,38,Isuzu
33,Stylus,38,Isuzu
398,Other automobile,38,Isuzu
399,Unknown automobile,38,Isuzu
401,Trooper/Trooper II,38,Isuzu
402,Rodeo,38,Isuzu
403,Amigo,38,Isuzu
404,Vehicross,38,Isuzu
405,Axiom,38,Isuzu
421,Ascender,38,Isuzu
